Title,Content ID,Poster,Backdrop,Overview,Trailer,Type,Genres,Runtime (minutes),Number of Episodes,Rating,Release Year,Provider Name,Provider Logo,Origin Country,Primary Genres,Secondary Genres,Total Runtime (minutes),Latitude,Longitude
The Witcher,71912,/cZ0d3rtvXPVvuiX22sP79K3Hmjz.jpg,/foGkPxpw9h8zln81j63mix5B7m8.jpg,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",https://www.youtube.com/watch?v=eb90gqGYP9c,tv,"Sci-Fi & Fantasy, Drama, Action & Adventure",66,24,8.09,2019,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Science Fiction/Fantasy, Drama,1584,39.78373,-100.44588
Two and a Half Men,2691,/xgfjxyV3g1S68opzuvG6G87muDp.jpg,/coHpOy9OJyFiHWeH36cSHMpLUHC.jpg,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,https://www.youtube.com/watch?v=h1YadOPGL-0,tv,Comedy,30,262,7.45,2003,Amazon Prime Video,/dQeAar5H991VYporEjUspolDarG.jpg,United States of America,Comedy,N/A,7860,39.78373,-100.44588
Dawn of the Planet of the Apes,119450,/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,/4TFCA5Lm5miseV3Wy02yxurEQL9.jpg,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",https://www.youtube.com/watch?v=DpSaTrW4leg,movie,"Science Fiction, Action, Drama, Thriller",130,1,7.32,2014,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Science Fiction/Fantasy, Action,130,39.78373,-100.44588
The Last Stop in Yuma County,1047020,/u6ae2MMh8PpSamO3cIttLM5B18v.jpg,/Y91KJmQ13jNEpOlNL9j6PPRpIO.jpg,"While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune.",https://www.youtube.com/watch?v=VfpnNciRQq8,movie,"Crime, Thriller",91,1,6.88,2024,N/A,N/A,United States of America,Documentary/Other, Thriller,91,39.78373,-100.44588
Dark Matter,196322,/c6MRUtPk0nEPQ9FBD9RdRKt2rIm.jpg,/5fWxvjOUvtUoSmiMEpFl77V6KZV.jpg,"Jason Dessen is abducted into an alternate version of his life. To get back to his true family, he embarks on a harrowing journey to save them from the most terrifying foe imaginable: himself.",https://www.youtube.com/watch?v=j6ucGt_Xp14,tv,"Drama, Mystery, Sci-Fi & Fantasy",50,9,7.9,2024,Apple TV Plus,/2E03IAZsX4ZaUqM7tXlctEPMGWS.jpg,United States of America,Drama, Mystery,450,39.78373,-100.44588
War for the Planet of the Apes,281338,/mMA1qhBFgZX8O36qPPTC016kQl1.jpg,/qdd5lrgBYL4fMSwYAhfLUwdJRu1.jpg,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",https://www.youtube.com/watch?v=yDBFrQvfGlQ,movie,"Drama, Science Fiction, War",140,1,7.19,2017,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Drama, Science Fiction,140,39.78373,-100.44588
Dune: Part Two,693134,/gho58bYmw9juYXmUSHRJKOngJGn.jpg,/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",https://www.youtube.com/watch?v=DMNQ5HWQ1aU,movie,"Science Fiction, Adventure",167,1,8.18,2024,N/A,N/A,United States of America,Science Fiction/Fantasy, Adventure,167,39.78373,-100.44588
Living with Leopards,1255187,/g7peos8n3HHv7mhDvI5ySntzC6n.jpg,/dUfRICbbBih2C9uO3z2ZOVOlv0q.jpg,A film crew follows two leopard cubs as they make the fascinating journey from infancy into adulthood in this up-close-and-personal nature documentary.,https://www.youtube.com/watch?v=c2pzKahGGtA,movie,Documentary,72,1,7.5,2024,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other,N/A,72,54.70235,-3.27658
S.W.A.T.,71790,/1l7vsAIkqOzrqiPwjO27Cb5QdfJ.jpg,/6AMu666ED8qPbep6iYtue11awvW.jpg,A locally born and bred S.W.A.T. lieutenant is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,https://www.youtube.com/watch?v=HHVae76dbqI,tv,"Crime, Action & Adventure, Drama",42,141,8.1,2017,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Documentary/Other, Action & Adventure,5922,39.78373,-100.44588
Mothers' Instinct,758679,/xscMEP5VsvCLxFvrDQD84biWsLA.jpg,/2ak94bJfXxHR5vBxwrpkycwOKv3.jpg,"Alice and Celine are inseparable and share everything, from their daily routines to their secrets. Their perfect harmony is shattered when one of their sons dies in a tragic accident while under Alice’s care. Celine blames Alice for the death of her child and becomes obsessed with protecting her surviving son from any harm. Alice, on the other hand, feels guilty and paranoid that Celine is plotting to harm her and her family. A gripping battle of wills ensues as the two women spiral into madness and violence.",https://www.youtube.com/watch?v=WgiyQ_HYM98,movie,"Drama, Thriller",94,1,7.29,2024,N/A,N/A,United States of America,Drama, Thriller,94,39.78373,-100.44588
